Gene,Late RPCs_spec,Photoreceptor Precursor_spec,RGC_spec,Early RPCs_spec,Amacrine_spec,Muller Glia_spec,Horizontal_spec,Bipolar_spec,Photoreceptor_spec
malt1,0.998748436,0.999086341,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
cplx4b,1,1,1,1,1,1,1,1,1
emb,0.964285714,0.964285714,0.999079755,0.964285714,0.964285714,0.964285714,0.964285714,0.964285714,0.964285714
hip1rb,0.988354037,0.988354037,0.992797574,0.988354037,0.988354037,0.988354037,0.988354037,0.988354037,0.988354037
kntc1,0.912288716,0.912288716,0.912288716,0.967484663,0.912288716,0.912288716,0.912288716,0.912288716,0.912288716
mn1b,0.996588324,0.996588324,0.996588324,0.996588324,0.997670807,0.996588324,0.996588324,0.996588324,0.996588324
kat5b,0.849378882,0.849378882,0.851987209,0.849378882,0.849378882,0.849378882,0.849378882,0.849378882,0.849378882
fermt3a,0.996193087,0.996193087,0.996193087,0.997685185,0.996193087,0.996193087,0.996193087,0.996193087,0.996193087
CU914811.1,0.967592593,0.967592593,0.967592593,0.967592593,0.967592593,0.967592593,0.970195272,0.967592593,0.967592593
stip1,0.326176336,0.326176336,0.326176336,0.625153374,0.326176336,0.326176336,0.326176336,0.326176336,0.326176336
rps6ka4,0.992805755,0.992805755,0.992805755,0.992805755,0.992805755,0.992805755,0.992805755,0.993055556,0.992805755
rom1a,0.944937833,0.944937833,0.944937833,0.944937833,0.944937833,0.944937833,0.944937833,0.944937833,0.969907407
cdca5,0.493985077,0.493985077,0.493985077,0.698364008,0.493985077,0.493985077,0.493985077,0.493985077,0.493985077
clip1a,0.989906832,0.989906832,0.991929344,0.989906832,0.989906832,0.989906832,0.989906832,0.989906832,0.989906832
zcchc8,0.847875742,0.847875742,0.847875742,0.936503067,0.847875742,0.847875742,0.847875742,0.847875742,0.847875742
si:ch211-110p13.9,0.984010964,0.984010964,0.984010964,0.992944785,0.984010964,0.984010964,0.984010964,0.984010964,0.984010964
rsrc2,0.706715395,0.706715395,0.706715395,0.749223602,0.706715395,0.706715395,0.706715395,0.706715395,0.706715395
mlxip,0.970001523,0.970001523,0.970001523,0.978834356,0.970001523,0.970001523,0.970001523,0.970001523,0.970001523
unga,0.43718593,0.43718593,0.43718593,0.813190184,0.43718593,0.43718593,0.43718593,0.43718593,0.43718593
sebox,0.994347379,0.994347379,0.994347379,0.994347379,0.994347379,0.994347379,0.994347379,0.995515695,0.994347379
ebf2,0.87810559,0.87810559,0.933537832,0.87810559,0.87810559,0.87810559,0.87810559,0.87810559,0.87810559
si:dkey-251i10.1,1,1,1,1,1,1,1,1,1
si:dkey-251i10.2,0.987111448,0.987111448,0.987111448,0.987111448,0.987817877,0.987111448,0.987111448,0.987111448,0.987111448
UTP14C,0.447236181,0.447236181,0.447236181,0.855828221,0.447236181,0.447236181,0.447236181,0.447236181,0.447236181
zbtb20,0.836956522,0.836956522,0.9331963,0.836956522,0.836956522,0.836956522,0.836956522,0.836956522,0.836956522
si:dkey-70b23.2,0.986547085,0.986547085,0.986547085,0.986547085,0.986547085,0.987484355,0.986547085,0.986547085,0.986547085
arhgap31,0.997757848,0.997757848,0.997757848,0.997757848,0.997757848,0.998172682,0.997757848,0.997757848,0.997757848
b4galt4,0.99378882,0.99378882,0.994365768,0.99378882,0.99378882,0.99378882,0.99378882,0.99378882,0.99378882
casr,1,1,1,1,1,1,1,1,1
eif4e1b,0.997259022,0.997259022,0.997259022,0.997496871,0.997259022,0.997259022,0.997259022,0.997259022,0.997259022
zgc:175280,0.997757848,0.997757848,0.997757848,0.997757848,0.997757848,0.999795501,0.997757848,0.997757848,0.997757848
si:ch211-271b14.1,0.688289935,0.688289935,0.688289935,0.872801636,0.688289935,0.688289935,0.688289935,0.688289935,0.688289935
tagln3a,0.992236025,0.992236025,0.993055556,0.992236025,0.992236025,0.992236025,0.992236025,0.992236025,0.992236025
abhd10a,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.941770186,0.907407407,0.907407407
gsx1,0.98136646,0.979345603,0.979345603,0.979345603,0.979345603,0.979345603,0.979345603,0.979345603,0.979345603
mtif3,0.868128521,0.868128521,0.868128521,0.942331288,0.868128521,0.868128521,0.868128521,0.868128521,0.868128521
gtf3aa,0.874828689,0.874828689,0.874828689,0.970347648,0.874828689,0.874828689,0.874828689,0.874828689,0.874828689
wasf3a,0.976851852,0.976851852,0.976851852,0.976851852,0.976851852,0.976851852,0.98401421,0.976851852,0.976851852
rnf167,0.998748436,0.998781788,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
spag7,0.559159434,0.559159434,0.559159434,0.641207815,0.559159434,0.559159434,0.559159434,0.559159434,0.559159434
slc25a11,0.696512867,0.696512867,0.696512867,0.703703704,0.696512867,0.696512867,0.696512867,0.696512867,0.696512867
KCNAB3,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.999486125,0.997685185,0.997685185
KIF1C,0.997715852,0.997715852,0.997715852,0.999795501,0.997715852,0.997715852,0.997715852,0.997715852,0.997715852
tnfsf13,1,1,1,1,1,1,1,1,1
h1m,0.97319933,0.97319933,0.97319933,0.980265849,0.97319933,0.97319933,0.97319933,0.97319933,0.97319933
ephb4a,0.97319933,0.97319933,0.97319933,0.98757764,0.97319933,0.97319933,0.97319933,0.97319933,0.97319933
dlg4a,0.996209249,0.996209249,0.996209249,0.996209249,0.997685185,0.996209249,0.996209249,0.996209249,0.996209249
mepce,0.796296296,0.796296296,0.796296296,0.796296296,0.796296296,0.796296296,0.87300137,0.796296296,0.796296296
her1,0.999086341,0.999086341,0.999086341,0.999693252,0.999086341,0.999086341,0.999086341,0.999086341,0.999086341
her7,0.981269986,0.981269986,0.981269986,0.98997955,0.981269986,0.981269986,0.981269986,0.981269986,0.981269986
usp39,0.696208314,0.696208314,0.696208314,0.885582822,0.696208314,0.696208314,0.696208314,0.696208314,0.696208314
sftpbb,0.992236025,0.992236025,0.993055556,0.992236025,0.992236025,0.992236025,0.992236025,0.992236025,0.992236025
spaw,1,1,1,1,1,1,1,1,1
ank1a,0.997670807,0.997670807,0.998670757,0.997670807,0.997670807,0.997670807,0.997670807,0.997670807,0.997670807
FO704822.1,1,1,1,1,1,1,1,1,1
GANAB,0.959494442,0.959494442,0.959494442,0.96620776,0.959494442,0.959494442,0.959494442,0.959494442,0.959494442
mat2ab,0.988274707,0.988274707,0.988274707,0.993742178,0.988274707,0.988274707,0.988274707,0.988274707,0.988274707
inpp5jb,0.99689441,0.99689441,0.998223801,0.99689441,0.99689441,0.99689441,0.99689441,0.99689441,0.99689441
selenom,0.72011573,0.72011573,0.72011573,0.881987578,0.72011573,0.72011573,0.72011573,0.72011573,0.72011573
smtnb,0.552397869,0.552397869,0.552397869,0.552397869,0.552397869,0.552397869,0.552397869,0.552397869,0.976851852
FQ311924.1,0.999223602,0.999223602,0.999847723,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
isca1,0.634840871,0.634840871,0.634840871,0.696269982,0.634840871,0.634840871,0.634840871,0.634840871,0.634840871
CABZ01032476.1,0.990711131,0.990711131,0.990711131,0.991459627,0.990711131,0.990711131,0.990711131,0.990711131,0.990711131
psat1,0.378923767,0.378923767,0.378923767,0.378923767,0.378923767,0.425612913,0.378923767,0.378923767,0.378923767
si:ch211-157p22.10,0.961883408,0.961883408,0.961883408,0.961883408,0.961883408,0.992895204,0.961883408,0.961883408,0.961883408
zgc:153044,0.943657682,0.943657682,0.943657682,0.966462168,0.943657682,0.943657682,0.943657682,0.943657682,0.943657682
kiss1rb,0.999390894,0.999390894,0.999390894,0.999620925,0.999390894,0.999390894,0.999390894,0.999390894,0.999390894
mapkapk5,0.926450434,0.926450434,0.926450434,0.968710889,0.926450434,0.926450434,0.926450434,0.926450434,0.926450434
aldh2.1,0.771128369,0.771128369,0.771128369,0.899386503,0.771128369,0.771128369,0.771128369,0.771128369,0.771128369
aldh2.2,0.980461812,0.980461812,0.980461812,0.980461812,0.980461812,0.980461812,0.980461812,0.980461812,0.984304933
vps33a,0.947312319,0.947312319,0.947312319,0.962732919,0.947312319,0.947312319,0.947312319,0.947312319,0.947312319
eif2b1,0.675803259,0.675803259,0.675803259,0.856543967,0.675803259,0.675803259,0.675803259,0.675803259,0.675803259
gtf2h3,0.735038831,0.735038831,0.735038831,0.889672802,0.735038831,0.735038831,0.735038831,0.735038831,0.735038831
znf1005,0.955992082,0.955992082,0.955992082,0.975357873,0.955992082,0.955992082,0.955992082,0.955992082,0.955992082
dguok,0.879244708,0.879244708,0.879244708,0.909413854,0.879244708,0.879244708,0.879244708,0.879244708,0.879244708
mob1a,0.610628902,0.610628902,0.610628902,0.721973094,0.610628902,0.610628902,0.610628902,0.610628902,0.610628902
mthfd2,0.70823816,0.70823816,0.70823816,0.756660746,0.70823816,0.70823816,0.70823816,0.70823816,0.70823816
arl6ip4,0.681742044,0.681742044,0.681742044,0.835173824,0.681742044,0.681742044,0.681742044,0.681742044,0.681742044
C5H12orf65,0.926602711,0.926602711,0.926602711,0.941704036,0.926602711,0.926602711,0.926602711,0.926602711,0.926602711
kmt5ab,0.706867672,0.706867672,0.706867672,0.860531697,0.706867672,0.706867672,0.706867672,0.706867672,0.706867672
rilpl2,0.860986547,0.860986547,0.860986547,0.860986547,0.860986547,0.89629968,0.860986547,0.860986547,0.860986547
fsd1l,0.996118012,0.996118012,0.998104625,0.996118012,0.996118012,0.996118012,0.996118012,0.996118012,0.996118012
ugt2a6,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.99954317
ugt2a5,0.995583981,0.995583981,0.995583981,0.996447602,0.995583981,0.995583981,0.995583981,0.995583981,0.995583981
ythdc1,0.864321608,0.864321608,0.864321608,0.916925466,0.864321608,0.864321608,0.864321608,0.864321608,0.864321608
fktn,0.934006211,0.934006211,0.953373768,0.934006211,0.934006211,0.934006211,0.934006211,0.934006211,0.934006211
ugt2a4,0.997944502,0.997944502,0.997944502,0.997944502,0.997944502,0.997944502,0.997944502,0.998172682,0.997944502
dnajc25,0.990863408,0.990863408,0.990863408,0.997346475,0.990863408,0.990863408,0.990863408,0.990863408,0.990863408
si:ch211-154e10.1,0.993055556,0.993055556,0.993055556,0.993055556,0.993055556,0.993055556,0.995341615,0.993055556,0.993055556
rgs3a,0.908385093,0.908385093,0.950672646,0.908385093,0.908385093,0.908385093,0.908385093,0.908385093,0.908385093
znf618,0.990406578,0.990406578,0.990406578,0.995451099,0.990406578,0.990406578,0.990406578,0.990406578,0.990406578
pappaa,0.999086341,0.999086341,0.999086341,0.999386503,0.999086341,0.999086341,0.999086341,0.999086341,0.999086341
CABZ01075572.1,0.997757848,0.997757848,0.997757848,0.997757848,0.997757848,0.999223602,0.997757848,0.997757848,0.997757848
brinp1,0.976851852,0.976851852,0.976851852,0.976851852,0.976851852,0.976851852,0.982142857,0.976851852,0.976851852
CU927890.1,0.999620925,0.999620925,0.999620925,0.999620925,0.999695447,0.999620925,0.999620925,0.999620925,0.999620925
ak1,0.515695067,0.515695067,0.515695067,0.515695067,0.515695067,0.518518519,0.515695067,0.515695067,0.515695067
gpsm1b,0.99954317,0.99954317,0.99954317,0.999897751,0.99954317,0.99954317,0.99954317,0.99954317,0.99954317
LHX3,0.969167523,0.969167523,0.969167523,0.969167523,0.969167523,0.969167523,0.969167523,0.9900818,0.969167523
nup214,0.994974874,0.994974874,0.994974874,0.996118012,0.994974874,0.994974874,0.994974874,0.994974874,0.994974874
fam78ab,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.998447205,0.997685185,0.997685185
PLPP7,0.999223602,0.999223602,0.999486125,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
PRRC2B,0.989906832,0.989906832,0.989987484,0.989906832,0.989906832,0.989906832,0.989906832,0.989906832,0.989906832
dqx1,0.999620925,0.999620925,0.999620925,0.999620925,0.999897751,0.999620925,0.999620925,0.999620925,0.999620925
oxt,0.998748436,0.999223602,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
thnsl2,0.99649764,0.99649764,0.99649764,0.998466258,0.99649764,0.99649764,0.99649764,0.99649764,0.99649764
smyd1a,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.998447205,0.997685185,0.997685185
fabp1a,1,1,1,1,1,1,1,1,1
spra,0.937262068,0.937262068,0.937262068,0.976789366,0.937262068,0.937262068,0.937262068,0.937262068,0.937262068
exosc2,0.50921273,0.50921273,0.50921273,0.840593047,0.50921273,0.50921273,0.50921273,0.50921273,0.50921273
abl1,0.99604081,0.99604081,0.99604081,0.997670807,0.99604081,0.99604081,0.99604081,0.99604081,0.99604081
rab14l,0.977578475,0.977578475,0.977578475,0.977578475,0.977578475,0.990797546,0.977578475,0.977578475,0.977578475
ddx54,0.656311862,0.656311862,0.656311862,0.905316973,0.656311862,0.656311862,0.656311862,0.656311862,0.656311862
tbx5a,0.958428506,0.958428506,0.958428506,0.988354037,0.958428506,0.958428506,0.958428506,0.958428506,0.958428506
tbx3a,0.874147081,0.874147081,0.874147081,0.874147081,0.881165919,0.874147081,0.874147081,0.874147081,0.874147081
MTFP1,0.99649764,0.99649764,0.99649764,0.997757848,0.99649764,0.99649764,0.99649764,0.99649764,0.99649764
lman2la,0.982919255,0.982919255,0.993555724,0.982919255,0.982919255,0.982919255,0.982919255,0.982919255,0.982919255
wbp1,0.918478261,0.918478261,0.920863309,0.918478261,0.918478261,0.918478261,0.918478261,0.918478261,0.918478261
pax8,0.999086341,0.999086341,0.999086341,0.999223602,0.999086341,0.999086341,0.999086341,0.999086341,0.999086341
zgc:110249,0.908329526,0.908329526,0.908329526,0.976220275,0.908329526,0.908329526,0.908329526,0.908329526,0.908329526
zgc:165518,0.999390894,0.999390894,0.999390894,0.999795501,0.999390894,0.999390894,0.999390894,0.999390894,0.999390894
CR391944.1,0.998172682,0.998172682,0.998172682,0.99924185,0.998172682,0.998172682,0.998172682,0.998172682,0.998172682
FP326649.1,0.999620925,0.999620925,0.999620925,0.999620925,1,0.999620925,0.999620925,0.999620925,0.999620925
kdelr3,0.979166667,0.979166667,0.979166667,0.979166667,0.979166667,0.979166667,0.989645196,0.979166667,0.979166667
CABZ01079818.1,0.990740741,0.990740741,0.990740741,0.990740741,0.990740741,0.990740741,0.994861254,0.990740741,0.990740741
zgc:174288,0.935130196,0.935130196,0.935130196,0.978527607,0.935130196,0.935130196,0.935130196,0.935130196,0.935130196
mhc1zfa,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.998748436
mhc1zaa,0.998748436,0.999847723,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
mhc1zja,0.993908939,0.993908939,0.993908939,0.998977505,0.993908939,0.993908939,0.993908939,0.993908939,0.993908939
si:dkey-167k11.5,0.907263591,0.907263591,0.907263591,0.958074534,0.907263591,0.907263591,0.907263591,0.907263591,0.907263591
CCDC134,1,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751
dicp1.1,0.999223602,0.999223602,1,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
zgc:194659,0.917266187,0.917266187,0.917266187,0.917266187,0.917266187,0.917266187,0.917266187,0.928251121,0.917266187
si:dkey-12f6.5,1,1,1,1,1,1,1,1,1
CR792453.2,1,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751
dicp1.3-4,0.991459627,0.991459627,0.999488753,0.991459627,0.991459627,0.991459627,0.991459627,0.991459627,0.991459627
CR792453.3,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
AL929520.3,1,1,1,1,1,1,1,1,1
dicp1.17,1,1,1,1,1,1,1,1,1
FP102888.1,1,0.999795501,0.999795501,0.999795501,0.999795501,0.999795501,0.999795501,0.999795501,0.999795501
FP102888.3,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
FP102786.1,0.999223602,0.999223602,0.999486125,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
irgf4,0.997496871,0.997670807,0.997496871,0.997496871,0.997496871,0.997496871,0.997496871,0.997496871,0.997496871
zgc:172051,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998934064
si:ch1073-464p5.5,1,1,1,1,1,1,1,1,1
zgc:172253,1,1,1,1,1,1,1,1,1
zgc:153921,1,1,1,1,1,1,1,1,1
si:ch1073-322p19.1,0.950205573,0.950205573,0.950205573,0.950310559,0.950205573,0.950205573,0.950205573,0.950205573,0.950205573
srebf2,0.81705151,0.81705151,0.81705151,0.81705151,0.81705151,0.81705151,0.81705151,0.81705151,0.854813665
si:ch73-211l13.2,0.944114512,0.944114512,0.944114512,0.953416149,0.944114512,0.944114512,0.944114512,0.944114512,0.944114512
nol12,0.608649307,0.608649307,0.608649307,0.911042945,0.608649307,0.608649307,0.608649307,0.608649307,0.608649307
triobpb,0.994213492,0.994213492,0.994213492,0.996830266,0.994213492,0.994213492,0.994213492,0.994213492,0.994213492
ndufa6,0.137048881,0.137048881,0.137048881,0.305506217,0.137048881,0.137048881,0.137048881,0.137048881,0.137048881
smdt1a,0.922360248,0.922360248,0.942380591,0.922360248,0.922360248,0.922360248,0.922360248,0.922360248,0.922360248
fam234b,0.900621118,0.900621118,0.928240741,0.900621118,0.900621118,0.900621118,0.900621118,0.900621118,0.900621118
poldip3,0.992490613,0.987525562,0.987525562,0.987525562,0.987525562,0.987525562,0.987525562,0.987525562,0.987525562
rrp7a,0.593726207,0.593726207,0.593726207,0.901329243,0.593726207,0.593726207,0.593726207,0.593726207,0.593726207
wbp2nl,0.748878924,0.748878924,0.748878924,0.748878924,0.748878924,0.826388889,0.748878924,0.748878924,0.748878924
si:ch1073-314i13.4,0.821227349,0.821227349,0.821227349,0.909509202,0.821227349,0.821227349,0.821227349,0.821227349,0.821227349
tcf20,0.913819876,0.913819876,0.943962235,0.913819876,0.913819876,0.913819876,0.913819876,0.913819876,0.913819876
GRIN2B,0.999223602,0.999223602,1,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
tmem106c,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.942546584,0.907407407,0.907407407
FP236551.1,0.998748436,0.999591002,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
ddx47,0.583675956,0.583675956,0.583675956,0.865541922,0.583675956,0.583675956,0.583675956,0.583675956,0.583675956
wbp11,0.960408101,0.960408101,0.960408101,0.975931677,0.960408101,0.960408101,0.960408101,0.960408101,0.960408101
bglap,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,1
mgp,0.987566607,0.987566607,0.987566607,0.987566607,0.987566607,0.987566607,0.987566607,0.987566607,0.999620925
sox10,0.713004484,0.713004484,0.713004484,0.713004484,0.713004484,0.989342806,0.713004484,0.713004484,0.713004484
polr2f,0.234962692,0.234962692,0.234962692,0.582617587,0.234962692,0.234962692,0.234962692,0.234962692,0.234962692
CR394546.4,0.997685185,0.996319018,0.996319018,0.996319018,0.996319018,0.996319018,0.996319018,0.996319018,0.996319018
BX321875.4,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
BX321875.2,1,1,1,1,1,1,1,1,1
BX321875.3,0.999223602,0.998977505,0.998977505,0.998977505,0.998977505,0.998977505,0.998977505,0.998977505,0.998977505
si:dkeyp-52c3.7,0.99954317,0.99954317,0.99954317,0.999897751,0.99954317,0.99954317,0.99954317,0.99954317,0.99954317
micall1b.2,1,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751
zgc:101806,1,1,1,1,1,1,1,1,1
si:ch211-254c8.3,1,1,1,1,1,1,1,1,1
zgc:152753,0.990740741,0.990740741,0.990740741,0.990740741,0.990740741,0.990740741,0.992842536,0.990740741,0.990740741
zgc:165583,1,1,1,1,1,1,1,1,1
BX005442.3,1,1,1,1,1,1,1,1,1
si:dkey-88j15.3,1,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751
BX005442.4,1,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751
si:dkey-88j15.4,1,1,1,1,1,1,1,1,1
BX005442.2,1,1,1,1,1,1,1,1,1
CR933791.2,0.99068323,0.99068323,0.992995279,0.99068323,0.99068323,0.99068323,0.99068323,0.99068323,0.99068323
si:dkey-217f16.5,0.998862775,0.998862775,0.998862775,0.998862775,0.999223602,0.998862775,0.998862775,0.998862775,0.998862775
si:dkey-217f16.6,1,1,1,1,1,1,1,1,1
CR388047.1,1,1,1,1,1,1,1,1,1
CR388047.3,1,1,1,1,1,1,1,1,1
CR388047.2,1,1,1,1,1,1,1,1,1
BX004816.3,1,1,1,1,1,1,1,1,1
BX004816.1,1,1,1,1,1,1,1,1,1
zgc:172090,0.999620925,0.999620925,0.999620925,0.999620925,1,0.999620925,0.999620925,0.999620925,0.999620925
BX004816.2,1,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751
si:dkey-30g5.1,1,1,1,1,1,1,1,1,1
si:ch211-229i14.2,1,0.999488753,0.999488753,0.999488753,0.999488753,0.999488753,0.999488753,0.999488753,0.999488753
AL953907.2,0.999486125,0.999486125,0.999486125,0.999486125,0.999486125,0.999486125,0.999486125,0.999897751,0.999486125
tmem184bb,0.998447205,0.998447205,0.999620925,0.998447205,0.998447205,0.998447205,0.998447205,0.998447205,0.998447205
si:dkey-46g23.1,0.937111801,0.937111801,0.953703704,0.937111801,0.937111801,0.937111801,0.937111801,0.937111801,0.937111801
si:dkey-46g23.2,0.998934064,0.998934064,0.998934064,0.999897751,0.998934064,0.998934064,0.998934064,0.998934064,0.998934064
zgc:171446,0.998781788,0.998781788,0.998781788,0.999897751,0.998781788,0.998781788,0.998781788,0.998781788,0.998781788
zgc:171445,0.999238617,0.999238617,0.999238617,1,0.999238617,0.999238617,0.999238617,0.999238617,0.999238617
si:dkey-46g23.5,0.999390894,0.999390894,0.999390894,1,0.999390894,0.999390894,0.999390894,0.999390894,0.999390894
zgc:165453,1,1,1,1,1,1,1,1,1
zgc:171426,0.999238617,0.999238617,0.999238617,1,0.999238617,0.999238617,0.999238617,0.999238617,0.999238617
CABZ01040998.1,1,1,1,1,1,1,1,1,1
cdc42ep1b,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,1
CR589947.1,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.999620925
CR589947.2,0.999223602,0.999223602,1,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
CR589947.3,1,1,1,1,1,1,1,1,1
pick1,0.992690726,0.992690726,0.992690726,0.995341615,0.992690726,0.992690726,0.992690726,0.992690726,0.992690726
plbd1,0.997496871,0.9984837,0.997496871,0.997496871,0.997496871,0.997496871,0.997496871,0.997496871,0.997496871
si:ch211-163m16.7,1,1,1,1,1,1,1,1,1
art4,0.997757848,0.997757848,0.997757848,0.997757848,0.997757848,0.999847723,0.997757848,0.997757848,0.997757848
BX908804.1,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
si:dkey-217f16.1,0.999847723,0.999795501,0.999795501,0.999795501,0.999795501,0.999795501,0.999795501,0.999795501,0.999795501
BX908804.2,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
BX908804.3,1,1,1,1,1,1,1,1,1
gucy2c,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.999897751
pmm1,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
si:ch73-338o16.4,1,1,1,1,1,1,1,1,1
unm-sa1506,0.99954317,0.99954317,0.99954317,0.999693252,0.99954317,0.99954317,0.99954317,0.99954317,0.99954317
BX005421.2,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.99954317
LO018551.1,0.999847723,0.999847723,0.999847723,0.999897751,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
si:dkey-175d9.1,1,1,1,1,1,1,1,1,1
si:dkey-175d9.2,0.998748436,0.999223602,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
si:dkey-73p2.1,1,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751
si:dkey-73p2.2,0.999620925,0.999620925,0.999620925,0.999620925,1,0.999620925,0.999620925,0.999620925,0.999620925
si:dkey-73p2.3,0.999486125,0.999486125,0.999486125,0.999486125,0.999486125,0.999486125,0.999486125,0.999695447,0.999486125
trim35-3,0.999238617,0.999238617,0.999238617,0.999897751,0.999238617,0.999238617,0.999238617,0.999238617,0.999238617
zc3h7ba,0.968935587,0.968935587,0.968935587,0.99103139,0.968935587,0.968935587,0.968935587,0.968935587,0.968935587
rangap1a,0.666057561,0.666057561,0.666057561,0.823210634,0.666057561,0.666057561,0.666057561,0.666057561,0.666057561
ftr43,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
ftr50,1,1,1,1,1,1,1,1,1
slc25a38a,0.996245307,0.997750511,0.996245307,0.996245307,0.996245307,0.996245307,0.996245307,0.996245307,0.996245307
CABZ01046996.1,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
CABZ01046997.1,0.999238617,0.999238617,0.999238617,0.999897751,0.999238617,0.999238617,0.999238617,0.999238617,0.999238617
CABZ01117706.1,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
CSDC2,0.997670807,0.997670807,0.997685185,0.997670807,0.997670807,0.997670807,0.997670807,0.997670807,0.997670807
polr3h,0.55931171,0.55931171,0.55931171,0.891615542,0.55931171,0.55931171,0.55931171,0.55931171,0.55931171
tefb,0.986111111,0.986111111,0.986111111,0.986111111,0.986111111,0.986111111,0.99068323,0.986111111,0.986111111
myh9b,0.968326481,0.968326481,0.968326481,0.98997955,0.968326481,0.968326481,0.968326481,0.968326481,0.968326481
txn2,0.490634993,0.490634993,0.490634993,0.81838565,0.490634993,0.490634993,0.490634993,0.490634993,0.490634993
si:ch211-150d5.3,1,1,1,1,1,1,1,1,1
si:ch73-106l15.4,1,1,1,1,1,1,1,1,1
trim35-7,0.994061215,0.994061215,0.994061215,0.996245307,0.994061215,0.994061215,0.994061215,0.994061215,0.994061215
si:ch73-106l15.2,1,1,1,1,1,1,1,1,1
vmo1a,1,1,1,1,1,1,1,1,1
FQ311879.1,0.999223602,0.999223602,0.999486125,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
si:ch73-264i18.2,1,1,1,1,1,1,1,1,1
trim35-31,0.999223602,0.999223602,0.999620925,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
si:ch211-106h11.3,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
ddx39ab,0.113750571,0.113750571,0.113750571,0.351022495,0.113750571,0.113750571,0.113750571,0.113750571,0.113750571
si:ch211-106h11.1,1,1,1,1,1,1,1,1,1
pkn1b,1,1,1,1,1,1,1,1,1
